firm_id,year,total_assets,total_debt,market_cap,equity_volatility,risk_free_rate,esg_score,carbon_intensity,interest_expense,cost_of_debt,pd_merton,distance_to_default
SHIP-02,2025,4217.6573,1514.693,2525.7756,0.386307,0.008619,48.944,216.5664,25.6963,0.01696469,3.89231e-05,3.95093574
SHIP-03,2016,3437.4807,1776.7219,1810.2316,0.513513,0.013697,56.1036,287.6996,36.8311,0.02072979,0.0049242463,2.58110394
SHIP-03,2017,3532.5049,1938.3335,1468.8668,0.527435,0.017989,61.518,301.717,47.5912,0.02455262,0.0091486674,2.35954554
SHIP-03,2018,3397.7534,1725.0507,2192.4144,0.524625,0.017918,64.5196,278.8991,42.7596,0.02478743,0.0040001288,2.65205893
SHIP-03,2019,3975.2509,1722.109,2207.2224,0.579176,0.02117,65.1089,238.7021,34.0251,0.01975778,0.0088231513,2.37295733
SHIP-03,2020,3983.3295,1916.8866,1798.9163,0.448672,0.020665,65.5623,263.2986,46.645,0.02433375,0.0015977285,2.94828173
SHIP-03,2021,4181.1617,2156.4799,1888.7886,0.459665,0.015745,68.2527,251.3848,55.1734,0.02558494,0.0023389798,2.82841176
SHIP-03,2022,4205.6011,1694.5063,2370.8914,0.54373,0.013863,65.4917,274.8609,36.7591,0.02169308,0.0046101137,2.60377869
SHIP-03,2023,4189.6176,1861.2931,1563.7796,0.576071,0.015864,71.6349,213.9782,38.8907,0.02089448,0.0149600717,2.17114592
SHIP-03,2024,3891.4805,1850.3239,1866.2179,0.590683,0.006432,73.7104,235.3023,34.6472,0.01872493,0.0144166518,2.18575816
SHIP-03,2025,3973.6445,1750.6282,2101.9102,0.518386,0.008078,77.2231,221.7208,41.0952,0.02347457,0.0040684855,2.64633284
SHIP-04,2016,1352.3362,842.2724,921.3826,0.591968,0.011443,46.9634,719.4714,22.997,0.0273035,0.0131198679,2.22264517
SHIP-04,2017,1232.2909,705.8788,396.6221,0.556723,0.018052,40.7082,765.478,21.5267,0.03049636,0.0177982043,2.10150786
SHIP-04,2018,1351.1049,742.511,450.9944,0.506906,0.02054,50.1925,723.4158,20.59,0.02773021,0.0087990304,2.37396831
SHIP-04,2019,1430.5842,904.6718,419.0063,0.620351,0.016983,54.5944,717.2347,24.1231,0.02666504,0.0373437159,1.7823791
SHIP-04,2020,1387.8782,783.3115,670.3803,0.477771,0.019927,50.0751,686.5381,24.6462,0.03146417,0.0034588068,2.70078454
SHIP-04,2021,1616.1777,1005.9031,627.113,0.80543,0.015938,50.7146,697.9046,25.1657,0.02501804,0.0996811124,1.28337073
SHIP-04,2022,1594.068,916.886,766.1023,0.586385,0.011535,53.8043,720.4872,34.1629,0.03725967,0.016952798,2.12119262
SHIP-04,2023,1783.19,1126.5705,645.3616,0.677335,0.011613,54.5411,617.1964,30.7918,0.02733231,0.0504959543,1.64006377
SHIP-04,2024,1470.0236,803.6564,791.2045,0.639809,0.009912,56.7454,639.1785,25.7084,0.03198924,0.0243027622,1.97203576
SHIP-04,2025,1548.778,790.3221,735.7415,0.35841,0.007732,58.7474,647.8525,19.6344,0.02484354,9.67349e-05,3.72739405
SHIP-05,2016,774.6575,279.2827,350.9742,0.517225,0.0123,54.3564,560.3498,7.9584,0.02849588,0.0036356832,2.68415372
SHIP-05,2017,858.8675,353.4156,495.6229,0.502404,0.02078,58.934,527.075,9.979,0.02823574,0.0021643474,2.85315907
SHIP-05,2018,998.8422,397.5589,525.1597,0.506498,0.012081,60.7712,475.234,10.7323,0.02699545,0.0027120338,2.78070695
SHIP-05,2019,1015.3731,459.7639,645.8784,0.579095,0.021386,57.1427,478.7645,12.7784,0.02779349,0.0076006148,2.42754909
SHIP-05,2020,1064.3548,401.5605,713.3495,0.583062,0.020296,61.4565,479.5292,11.7664,0.02930165,0.0052600995,2.55824485
SHIP-05,2021,1168.8949,532.6959,543.2598,0.488424,0.014078,58.7582,489.3457,15.2173,0.02856657,0.0031622595,2.73046426
SHIP-05,2022,1011.0493,359.102,568.8265,0.473982,0.014875,66.2926,463.8249,10.4477,0.02909384,0.0008661546,3.1326584
SHIP-05,2023,1245.3441,459.493,817.945,0.553638,0.010355,64.7034,431.0896,12.0978,0.02632862,0.003360025,2.71040795
SHIP-05,2024,1094.1775,486.7353,648.3763,0.51854,0.009803,62.3778,380.1235,11.0988,0.02280258,0.0033403802,2.71235202
SHIP-05,2025,1130.9126,421.6368,854.7568,0.413676,0.009066,68.1236,441.1863,10.4903,0.02487999,5.45647e-05,3.86934223
SHIP-06,2016,1156.4136,473.9944,706.331,0.553599,0.01441,36.207,261.6479,12.8993,0.02721399,0.0047795724,2.59138153
SHIP-06,2017,1230.1126,615.2036,696.0009,0.528989,0.01797,42.1058,228.0542,16.4965,0.0268147,0.0052779399,2.55706728
SHIP-06,2018,968.7765,375.0512,725.0027,0.424016,0.018901,41.7158,230.0846,9.0083,0.02401889,9.58671e-05,3.72966553
SHIP-06,2019,1244.2899,591.1944,953.2156,0.511801,0.020571,46.2107,238.8062,15.8006,0.02672658,0.0018986128,2.89453336
SHIP-06,2020,1301.1784,547.3046,504.3167,0.633817,0.016292,46.274,257.5371,13.4515,0.02457771,0.0244537043,1.96939797
SHIP-06,2021,1088.312,402.7708,656.6317,0.507439,0.017069,44.1932,231.3809,9.6923,0.02406398,0.0017054064,2.92806268
SHIP-06,2022,1191.0517,434.5386,834.1869,0.522193,0.012605,43.6561,214.0093,9.3836,0.0215944,0.0015524701,2.95715298
SHIP-06,2023,1445.0643,548.4023,869.2662,0.537079,0.009562,51.978,217.3522,15.407,0.02809438,0.003246997,2.7217363
SHIP-06,2024,1279.2449,478.5568,901.58,0.595462,0.005976,49.144,207.5935,12.28,0.02566058,0.0057688857,2.52597493
SHIP-06,2025,1253.0696,513.4383,665.2585,0.508813,0.007647,49.4503,232.7426,12.0331,0.02343639,0.0029717362,2.75088379
SHIP-07,2016,4691.3336,3096.5805,1317.9835,0.664179,0.011673,49.9839,359.9539,72.482,0.02340711,0.0543089082,1.60443675
SHIP-07,2017,4889.2156,3567.2488,1267.3985,0.72998,0.015902,51.3184,354.7914,99.4787,0.02788667,0.0870057298,1.35942656
SHIP-07,2018,4989.4432,3633.0334,1394.9409,0.742024,0.016707,53.3708,353.6496,106.6114,0.02934501,0.0900360249,1.34053323
SHIP-07,2019,5146.1949,3320.945,1895.2822,0.668354,0.018632,52.1157,356.5692,104.7508,0.03154245,0.047322248,1.67139088
SHIP-07,2020,5646.7501,3973.2078,1883.8256,0.665355,0.019659,48.6041,325.3286,124.0705,0.03122677,0.051576776,1.62975375
SHIP-07,2021,4924.3206,3381.0623,1880.436,0.570149,0.013301,57.3232,293.6191,100.0767,0.02959919,0.0208068415,2.03736296
SHIP-07,2022,5015.5695,3608.6434,1271.2412,0.788554,0.01329,55.4647,268.5867,93.7213,0.02597134,0.1163104297,1.19363479
SHIP-07,2023,5760.7748,3564.2589,2433.0012,0.702253,0.006059,52.664,306.6955,114.3245,0.03207526,0.0536311744,1.61062102
SHIP-07,2024,6593.7783,4480.4571,2049.8585,0.585584,0.009755,55.0026,272.2281,103.809,0.02316929,0.0279350806,1.91204704
SHIP-07,2025,5986.8294,3609.8372,2345.775,0.563863,0.005963,55.612,257.8926,81.4958,0.02257603,0.0171159037,2.11733051
SHIP-08,2016,4209.6667,2124.8883,1811.6055,0.600166,0.014947,48.4446,858.5727,51.2462,0.0241171,0.0191223935,2.07222152
SHIP-08,2017,4505.908,2223.2773,1739.3246,0.459312,0.022797,52.5263,836.4386,48.5848,0.02185279,0.002781607,2.77247297
SHIP-08,2018,4068.4709,2452.2912,2226.9877,0.535269,0.01977,52.2232,827.4505,46.0808,0.01879091,0.0080674339,2.40585046
SHIP-08,2019,4649.6113,2542.9642,2263.4585,0.695684,0.022358,53.5807,766.4663,65.0207,0.02556885,0.0415811341,1.73262542
SHIP-08,2020,4174.7799,2394.4087,1622.509,0.739101,0.018658,56.938,717.934,64.8179,0.02707053,0.0671687308,1.49721447
SHIP-08,2021,4043.2871,2064.9439,1657.4547,0.56722,0.015144,48.5499,718.3193,50.5238,0.02446738,0.0142248287,2.19102951
SHIP-08,2022,4937.0675,2799.8533,2036.2224,0.709218,0.010144,57.426,760.2199,61.2305,0.0218692,0.0536563159,1.61039051
SHIP-08,2023,4912.9356,2607.6799,2627.7088,0.506198,0.009964,58.3698,615.7034,59.3753,0.02276938,0.0044652643,2.61470219
SHIP-08,2024,5075.9178,2920.5461,2183.6075,0.669781,0.011824,57.8359,579.0502,57.4111,0.01965767,0.0398235778,1.75273704
SHIP-08,2025,4663.0726,2046.0574,2365.9848,0.543693,0.006063,62.5887,731.1522,51.2453,0.02504587,0.006498233,2.48386612
SHIP-09,2016,2524.3379,756.473,1972.8608,0.511389,0.014245,66.2744,936.6252,23.6643,0.03128247,0.0004845203,3.29936432
SHIP-09,2017,2388.424,829.1832,1448.2846,0.414477,0.016731,64.1612,804.0095,22.3649,0.02697215,0.0001005129,3.71772382
SHIP-09,2018,3335.9918,1279.7735,2036.845,0.450361,0.021578,59.7423,811.1286,46.3455,0.03621385,0.0004465004,3.32223302
SHIP-09,2019,2499.0513,1057.2326,1961.4936,0.529207,0.021155,66.4332,743.5835,32.2691,0.03052228,0.0019073953,2.89308417
SHIP-09,2020,2824.1066,1151.7134,1683.0136,0.43293,0.021988,69.6989,790.6413,34.4528,0.0299144,0.0003449547,3.39355803
SHIP-09,2021,2418.8852,942.1306,1238.6961,0.596797,0.0162,64.8759,649.8987,21.9706,0.0233201,0.0106771164,2.30166214
SHIP-09,2022,2741.6102,852.6246,1675.5962,0.448736,0.011552,69.2221,714.6356,23.3868,0.02742915,0.0002184139,3.51677257
SHIP-09,2023,2686.8766,916.9119,1867.5569,0.627746,0.007089,66.4857,629.4918,20.169,0.02199671,0.0076645395,2.42450957
SHIP-09,2024,3251.9283,1174.1268,1818.4928,0.593948,0.012156,71.8992,706.3434,36.4238,0.03102203,0.0079855142,2.40957693
SHIP-09,2025,3187.6278,817.9467,1966.5722,0.412661,0.006662,68.323,656.5761,25.8174,0.03156363,2.39922e-05,4.06523385
SHIP-10,2016,4717.9759,1846.7217,3371.9207,0.545476,0.009028,56.2816,768.6186,46.4743,0.02516585,0.0027642468,2.77450999
SHIP-10,2017,4355.5797,1549.4041,3249.1378,0.512546,0.016814,55.9188,699.0391,48.7703,0.03147684,0.0009779404,3.09685111
SHIP-10,2018,3700.3018,1386.1265,2884.082,0.565091,0.024186,59.5029,614.785,43.9856,0.03173277,0.0027819088,2.77243766
SHIP-10,2019,4932.7527,2042.8306,2893.1171,0.490211,0.020523,68.6418,691.954,65.9269,0.03227235,0.0016462433,2.93902297
SHIP-10,2020,4581.1716,2009.935,2760.6788,0.525812,0.02175,64.461,543.1454,50.6967,0.02522306,0.0034895258,2.69784219
SHIP-10,2021,5092.5202,1768.8621,2733.8656,0.320167,0.017919,68.8462,569.0044,51.9825,0.02938753,1.1178e-06,4.73087349
SHIP-10,2022,5107.0981,1861.5649,3633.4052,0.439646,0.010347,66.3002,510.4349,47.0472,0.02527295,0.0001667127,3.58784267
SHIP-10,2023,5337.6057,2111.3093,2860.4004,0.441105,0.011109,69.2894,524.2292,50.3911,0.02386722,0.0005656446,3.25566053
SHIP-10,2024,5072.4297,1734.0844,3264.8914,0.382135,0.005597,68.8306,546.9496,39.0785,0.02253552,1.86542e-05,4.12354577
SHIP-10,2025,6372.3127,2402.8513,3886.2671,0.475413,0.004,74.0109,557.3536,55.7584,0.02320508,0.0008732724,3.13025522
SHIP-11,2016,5018.275,2711.2421,1930.8989,0.527652,0.015108,53.2686,325.8821,78.5387,0.0289678,0.0099034489,2.32998587
SHIP-11,2017,4070.9572,2277.0623,2047.3013,0.53185,0.020998,55.5054,291.8816,74.9591,0.0329192,0.0077776279,2.41918666
SHIP-11,2018,5452.7009,3746.3825,2075.8663,0.774656,0.021082,57.9776,295.7253,120.1665,0.03207535,0.0906885391,1.33652701
SHIP-11,2019,4099.9332,2294.8031,1992.0358,0.580978,0.023101,62.3014,263.7969,84.6926,0.03690625,0.0151203916,2.16692225
SHIP-11,2020,5316.3383,3116.746,2635.7959,0.662071,0.017625,56.6481,334.7057,105.1822,0.03374743,0.0337414314,1.82844453
SHIP-11,2021,5293.6001,3244.615,2156.8472,0.751321,0.01495,62.2591,285.4026,92.6547,0.02855646,0.0730132892,1.45371053
SHIP-11,2022,5486.0747,3214.8688,1661.0792,0.491255,0.011883,60.3848,300.143,107.2178,0.03335059,0.0083464218,2.39340412
SHIP-11,2023,5288.2129,2895.9057,2082.3145,0.587408,0.010358,63.5133,231.8344,91.8839,0.0317289,0.0199452553,2.05488089
SHIP-11,2024,5525.9791,3062.7193,2477.274,0.634554,0.005731,62.5203,271.1216,84.749,0.02767115,0.0281459927,1.90876832
SHIP-11,2025,6417.1022,3384.2771,2493.028,0.605225,0.007861,62.7054,251.9534,106.2093,0.03138317,0.0233435569,1.98912766
SHIP-12,2016,4182.5626,2445.176,2223.0612,0.671662,0.01241,35.4494,779.9993,70.6291,0.02888507,0.0343286783,1.82066789
SHIP-12,2017,4399.6543,2439.9736,2194.7477,0.652537,0.021162,36.7989,653.1766,70.9726,0.02908745,0.0293971121,1.88972892
SHIP-12,2018,4926.1492,3073.8503,1300.3112,0.760821,0.019321,38.6152,818.4036,85.3962,0.0277815,0.0953250784,1.3086582
SHIP-12,2019,5040.9356,3291.3347,1739.8131,0.52971,0.021809,42.1706,598.2705,109.1983,0.03317752,0.0136372081,2.2075678
SHIP-12,2020,5094.4014,3172.4507,2290.4988,0.611418,0.019518,42.6891,710.544,95.6723,0.03015721,0.0249438893,1.96092495
SHIP-12,2021,5234.8134,3272.3555,2087.3078,0.684417,0.015728,43.3616,654.6857,96.4673,0.02947946,0.0494112335,1.65058929
SHIP-12,2022,4619.8372,2905.9901,2510.2995,0.624771,0.009434,43.7513,596.6722,82.4355,0.02836742,0.0241409538,1.97487877
SHIP-12,2023,5241.9709,2596.8523,3713.2705,0.417675,0.007216,48.732,558.3788,61.8629,0.02382225,0.0002368328,3.49522317
SHIP-12,2024,5906.6797,3333.9237,3410.4855,0.57123,0.014084,48.6131,633.5291,96.4078,0.02891722,0.011141201,2.2855192
SHIP-12,2025,5307.8592,2922.8594,2856.8961,0.46964,0.01484,46.6501,539.3304,75.6879,0.02589516,0.0023587115,2.8257217
